date_m,state_abbrev,city,android_visits,ios_visits,pct_ios
2020m1,AZ,PHOENIX,405512,197490,.32751134
2020m2,AZ,PHOENIX,320698,176810,.35539126
2020m3,AZ,PHOENIX,298406,163813,.35440558
2020m4,AZ,PHOENIX,213844,109350,.33834168
2020m5,AZ,PHOENIX,250898,141089,.35993287
2020m6,AZ,PHOENIX,260171,152058,.36886778
2020m7,AZ,PHOENIX,255922,156896,.38006094
2020m8,AZ,PHOENIX,254712,166307,.39501068
2020m9,AZ,PHOENIX,241328,156320,.3931115
2020m10,AZ,PHOENIX,255279,169421,.39891922
2020m11,AZ,PHOENIX,249627,179127,.41778502
2020m12,AZ,PHOENIX,249754,175264,.41236842
2021m1,AZ,PHOENIX,226762,168832,.426781
2021m2,AZ,PHOENIX,210760,176416,.45564806
2021m3,AZ,PHOENIX,257994,236084,.4778274
2021m4,AZ,PHOENIX,240360,226487,.48514181
2021m5,AZ,PHOENIX,251623,222557,.46935129
2021m6,AZ,PHOENIX,249818,196570,.44035682
2021m7,AZ,PHOENIX,281245,207136,.42412788
2021m8,AZ,PHOENIX,268723,204206,.43178996
2021m9,AZ,PHOENIX,269201,193554,.41826454
2021m10,AZ,PHOENIX,273881,210334,.43438143
2021m11,AZ,PHOENIX,276705,216470,.43893141
2021m12,AZ,PHOENIX,264411,210292,.44299698
2022m1,AZ,PHOENIX,237325,199310,.45646822
2022m2,AZ,PHOENIX,238652,200613,.45670155
2022m3,AZ,PHOENIX,290465,241304,.45377597
2022m4,AZ,PHOENIX,340553,249376,.42272204
2022m5,AZ,PHOENIX,278020,178825,.39143473
2022m6,AZ,PHOENIX,259754,158658,.37919083
2020m1,AZ,TUCSON,222473,87921,.28325611
2020m2,AZ,TUCSON,179207,87370,.3277477
2020m3,AZ,TUCSON,157801,77011,.32796875
2020m4,AZ,TUCSON,110921,50206,.31159273
2020m5,AZ,TUCSON,133748,67524,.33548629
2020m6,AZ,TUCSON,142853,72193,.33570957
2020m7,AZ,TUCSON,137595,71695,.34256294
2020m8,AZ,TUCSON,138769,76385,.35502478
2020m9,AZ,TUCSON,134525,71060,.34564778
2020m10,AZ,TUCSON,141701,78100,.35532141
2020m11,AZ,TUCSON,124909,74224,.3727358
2020m12,AZ,TUCSON,134344,79760,.37252924
2021m1,AZ,TUCSON,119441,76063,.38906109
2021m2,AZ,TUCSON,111697,81908,.4230676
2021m3,AZ,TUCSON,133115,106171,.44369918
2021m4,AZ,TUCSON,129610,107404,.45315465
2021m5,AZ,TUCSON,139925,108181,.43602735
2021m6,AZ,TUCSON,136717,96736,.41437036
2021m7,AZ,TUCSON,143196,103473,.41948116
2021m8,AZ,TUCSON,148200,110711,.42760253
2021m9,AZ,TUCSON,146034,106185,.42100316
2021m10,AZ,TUCSON,153179,117709,.43453014
2021m11,AZ,TUCSON,156558,120987,.43591851
2021m12,AZ,TUCSON,145923,118727,.44861892
2022m1,AZ,TUCSON,129704,110400,.45980075
2022m2,AZ,TUCSON,130132,109516,.4569869
2022m3,AZ,TUCSON,151947,129108,.45936915
2022m4,AZ,TUCSON,151002,128923,.46056265
2022m5,AZ,TUCSON,138050,93786,.40453598
2022m6,AZ,TUCSON,123210,82706,.40164921
2020m1,CA,BAKERSFIELD,111561,74278,.39969006
2020m2,CA,BAKERSFIELD,98518,68025,.40845308
2020m3,CA,BAKERSFIELD,87505,60825,.41006538
2020m4,CA,BAKERSFIELD,61447,44846,.42190924
2020m5,CA,BAKERSFIELD,74640,57808,.43645808
2020m6,CA,BAKERSFIELD,79841,63893,.44452253
2020m7,CA,BAKERSFIELD,78117,64799,.45340618
2020m8,CA,BAKERSFIELD,79221,62563,.44125572
2020m9,CA,BAKERSFIELD,77859,60219,.43612307
2020m10,CA,BAKERSFIELD,78928,64774,.45075226
2020m11,CA,BAKERSFIELD,70809,61381,.4643392
2020m12,CA,BAKERSFIELD,73231,64062,.4666079
2021m1,CA,BAKERSFIELD,67719,61107,.47433749
2021m2,CA,BAKERSFIELD,65602,65357,.49906459
2021m3,CA,BAKERSFIELD,77324,79277,.5062356
2021m4,CA,BAKERSFIELD,75205,82584,.52338248
2021m5,CA,BAKERSFIELD,83089,86757,.51079804
2021m6,CA,BAKERSFIELD,84966,82691,.49321532
2021m7,CA,BAKERSFIELD,88193,86254,.49444243
2021m8,CA,BAKERSFIELD,87942,86398,.49557188
2021m9,CA,BAKERSFIELD,86226,82341,.4884764
2021m10,CA,BAKERSFIELD,89375,88863,.49856371
2021m11,CA,BAKERSFIELD,90425,92334,.50522274
2021m12,CA,BAKERSFIELD,86694,96118,.52577513
